,source,target,total,count,source_num,target_num
7832,petrobras,baker hughes incorporated,petrobras baker hughes incorporated,8,86,583
48,bp america,maxwell dynamics,bp america maxwell dynamics,8,785,494
268,pemex,halliburton,pemex halliburton,8,298,588
908,univ. of houston,ryder scott company,univ. of houston ryder scott company,8,126,310
998,baker hughes,karamay oil company,baker hughes karamay oil company,8,421,690
276,halliburton,pemex,halliburton pemex,8,588,298
552,chevron houston,school of chemical engineering oklahoma state university stillwater ok 74078,chevron houston school of chemical engineering oklahoma state university stillwater ok 74078,8,5,75
723,,rig operations llc, rig operations llc,8,0,767
739,rig operations llc,,rig operations llc ,8,767,0
1001,karamay oil company,baker hughes,karamay oil company baker hughes,8,690,421
772,schlumberger oil field services,southwestern energy woodland usa,schlumberger oil field services southwestern energy woodland usa,8,258,395
7824,baker hughes incorporated,petrobras,baker hughes incorporated petrobras,8,583,86
775,southwestern energy woodland usa,schlumberger oil field services,southwestern energy woodland usa schlumberger oil field services,8,395,258
876,china university of petroleum beijing,the university of texas at austin,china university of petroleum beijing the university of texas at austin,8,225,21
4762,department of petroleum engineering china university of petroleum,research institute of drilling engineering and technology cnpc xibu drilling engineering company limited,department of petroleum engineering china university of petroleum research institute of drilling engineering and technology cnpc xibu drilling engineering company limited,7,632,633
5931,texas tech university,apache corporation,texas tech university apache corporation,7,367,799
4772,petrochina research institute of petroleum exploration & development,department of petroleum engineering china university of petroleum,petrochina research institute of petroleum exploration & development department of petroleum engineering china university of petroleum,7,227,632
4761,department of petroleum engineering china university of petroleum,china petroleum technology & development corporation,department of petroleum engineering china university of petroleum china petroleum technology & development corporation,7,632,732
4781,china petroleum technology & development corporation,department of petroleum engineering china university of petroleum,china petroleum technology & development corporation department of petroleum engineering china university of petroleum,7,732,632
4760,department of petroleum engineering china university of petroleum,petrochina research institute of petroleum exploration & development,department of petroleum engineering china university of petroleum petrochina research institute of petroleum exploration & development,7,632,227
5926,apache corporation,texas tech university,apache corporation texas tech university,7,799,367
4799,research institute of drilling engineering and technology cnpc xibu drilling engineering company limited,department of petroleum engineering china university of petroleum,research institute of drilling engineering and technology cnpc xibu drilling engineering company limited department of petroleum engineering china university of petroleum,7,633,632
1076,,shell international e&p, shell international e&p,7,0,242
1066,shell international e&p,,shell international e&p ,7,242,0
5448,china university of petroleum,cnpc drilling research institute,china university of petroleum cnpc drilling research institute,7,640,663
2933,state key laboratory of petroleum resources and prospecting china university of petroleum,school of civil and environmental engineering georgia institute of technology,state key laboratory of petroleum resources and prospecting china university of petroleum school of civil and environmental engineering georgia institute of technology,7,136,108
5455,cnpc drilling research institute,china university of petroleum,cnpc drilling research institute china university of petroleum,7,663,640
2926,school of civil and environmental engineering georgia institute of technology,state key laboratory of petroleum resources and prospecting china university of petroleum,school of civil and environmental engineering georgia institute of technology state key laboratory of petroleum resources and prospecting china university of petroleum,7,108,136
7230,bg group plc.,fluminense federal university,bg group plc. fluminense federal university,6,235,458
