	name	degree
296	ypf s.a	6
383	abu dhabi national oil co.	6
345	petronas	6
687	turkish petroleum corp.	6
501	universite de cergy-pontoise	6
413	louisiana state university	6
408	montana state university	6
49	purdue university	6
672	the university of queensland	6
285	geosciences rennes	6
876	cgg	6
820	university of western australia	6
684	nexen energy ulc	6
686	encana services company	6
315	university of nevada	6
701	bg group	6
819	swiss federal institute of technology	6
872	consorcio shushufindi - schlumberger	6
809	petroamazonas	6
807	japan oil development co. ltd.	6
125	state key laboratory of petroleum resources and prospecting in china university of petroleum beijing (cupb)	6
57	saint petersburg polytechnic university	6
351	hess corporation	4
359	petro-geotech inc.	4
366	exxonmobil	4
497	school of chemical engineering oklahoma state university	4
472	universite paris-est	4
364	chevron energy technology company	4
349	schmidt institute of the physics of the earth ras	4
356	petronas carigali	4
358	3 phase terra consulting ltd.	4
858	suncor energy inc.	4
355	japan oil gas and metals national corporation	4
338	albert innovates – technology futures	4
344	universidad tecnologica nacional	4
496	the university of new south wales	4
354	canadian discovery ltd.	4
479	independent researcher	4
419	investgeoservice	4
466	csiro energy flagship	4
368	puc-rio/dec	4
422	simon fraser university	4
407	bblink&modecom- genesis institute	4
427	beijing no.4 high school	4
428	shandong energy longkou mining groop co. ltd.	4
406	smith bits a schlumberger company	4
871	isochron consulting	4
402	total s.a.	4
431	university of texas at arlington	4
400	taurus reservoir solutions ltd.	4
435	northeast petroleum university	4
395	southwestern energy woodland usa	4
392	novatek	4
390	energy & geoscience institute	4
438	kbb underground technologies gmbh	4
388	shanghai jiao tong university	4
384	sinopec research institute of petroleum engineering	4
867	idaho national laboratory	4
453	higgs-palmer technologies	4
866	university of hong kong	4
863	barrick gold corporation	4
455	university of stavanger	4
377	ccmeo	4
373	tecgraf/puc-rio	4
875	lomonosov moscow state university of fine chemical technologies	4
457	cnooc ltd.	4
371	shell aret-adams	4
464	ifpen	4
833	schlumberger saudi arabia	4
587	itasca microseismic and geomechanical evaluation	4
505	statoil asa	4
717	exxonmobil upstream research company	4
754	bg/qgc	4
751	total e&p	4
748	university of toronto	4
743	tarim oil field company	4
741	yokohama national university	4
734	aramco services company	4
731	a.p. van den berg ingenieursburo bv	4
727	institute of computational technologies sbras	4
719	innovative engineering systems global	4
712	dalhousie university	4
690	karamay oil company	4
710	federal institute for geosciences and natural resources (bgr),	4
709	korea institute of civil engineering and building technology	4
705	university of oxford	4
704	conterra ab	4
702	fluminense federal university (uff)	4
697	geosyntec consultants	4
695	suez oil company	4
694	inst. fisica de liquidos y sist. biologicos	4
838	reservoirfocus	4
755	kansai university	4
760	inpex corporation	4
761	tno/geological survey of the netherlands	4
766	soyuzneftegaz service	4
826	exxonmobil upstream	4
823	exxon neftegas ltd.	4
816	tno petroleum geosciences; baker hughes	4
813	"ojsc ""novatek"""	4
806	frackoptima inc. riverside california usa	4
805	riped-langfang	4
799	apache corporation	4
834	cgg geoconsulting	4
797	university of illinois at chicago	4
796	roman capital plc	4
795	colorado school of mines; khalifa university	4
791	shell kuwait exploration and production b.v.	4
787	petroxin	4
786	csiro/arrc	4
779	shell international exploration and production inc	4
774	xto energy	4
773	university of bremen	4
768	fukada geological institute	4
767	rig operations llc	4
691	nexencnooc ltd.	4
682	lawrence berkeley national laboratory; university of nice sophia-antipolis	4
509	fracture systems ltd.	4
555	bp-phpc	4
583	baker hughes incorporated	4
849	albert innovates – technology futures; university of alberta	4
574	southeast university	4
573	applied numerics	4
850	norwegian geotechnical institute	4
851	aramco	4
852	rgl reservoir management inc.	4
563	west virginia university	4
853	exxonmobil exploration company	4
551	zadco drilling	4
